% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
16506	8	1	1	0	28	2196	0	1	0
16507	8	1	1	0	28	2196	0	1	0
16511	8	1	1	0	28	2196	0	1	0
16512	8	1	1	0	28	2196	0	1	0
16514	8	1	1	0	28	2196	0	1	0
16515	8	1	1	0	28	2196	0	1	0
16516	8	1	1	0	28	2196	0	1	0
16517	8	1	1	0	28	2196	0	1	0
16518	8	1	1	0	28	2196	0	1	0
16519	8	1	1	0	28	2196	0	1	0
16520	8	1	1	0	28	2196	0	1	0
16521	8	1	1	0	28	2196	0	1	0
16522	8	1	1	0	28	2196	0	1	0
16523	8	1	1	0	28	2196	0	1	0
16524	8	1	1	0	28	2196	0	1	0
16525	8	1	1	0	28	2196	0	1	0
16526	8	1	1	0	28	2196	0	1	0
16527	8	1	1	0	28	2196	0	1	0
16528	8	1	1	0	28	2196	0	1	0
16533	8	1	1	0	28	2196	0	1	0
16534	8	1	1	0	28	2196	0	1	0
16535	8	1	1	0	28	2196	0	1	0
16536	8	1	1	0	28	2196	0	1	0
16537	8	1	1	0	28	2196	0	1	0
16538	8	1	1	0	28	2196	0	1	0
16539	8	1	1	0	28	2196	0	1	0
16540	8	1	1	0	28	2196	0	1	0
16541	8	1	1	0	28	2196	0	1	0
16542	8	1	1	0	28	2196	0	1	0
16543	8	1	1	0	28	2196	0	1	0
16548	8	1	1	0	28	2196	0	1	0
16549	8	1	1	0	28	2196	0	1	0
16554	8	1	1	0	28	2196	0	1	0
16555	8	1	1	0	28	2196	0	1	0
16556	8	1	1	0	28	2196	0	1	0
16557	8	1	1	0	28	2196	0	1	0
16558	8	1	1	0	28	2196	0	1	0
16559	8	1	1	0	28	2196	0	1	0
16569	8	1	1	0	28	2196	0	1	0
16570	8	1	1	0	28	2196	0	1	0
16571	8	1	1	0	28	2196	0	1	0
16572	8	1	1	0	28	2196	0	1	0
16573	8	1	1	0	28	2196	0	1	0
16574	8	1	1	0	28	2196	0	1	0
16575	8	1	1	0	28	2196	0	1	0
16576	8	1	1	0	28	2196	0	1	0
16577	8	1	1	0	28	2196	0	1	0
16578	8	1	1	0	28	2196	0	1	0
16583	8	1	1	0	28	2196	0	1	0
16584	8	1	1	0	28	2196	0	1	0
16585	8	1	1	0	28	2196	0	1	0
16586	8	1	1	0	28	2196	0	1	0
16587	8	1	1	0	28	2196	0	1	0
16588	8	1	1	0	28	2196	0	1	0
16589	8	1	1	0	28	2196	0	1	0
16590	8	1	1	0	28	2196	0	1	0
16595	8	1	1	0	28	2196	0	1	0
16596	8	1	1	0	28	2196	0	1	0
16597	8	1	1	0	28	2196	0	1	0
16598	8	1	1	0	28	2196	0	1	0
16599	8	1	1	0	28	2196	0	1	0
16600	8	1	1	0	28	2196	0	1	0
16601	8	1	1	0	28	2196	0	1	0
16602	8	1	1	0	28	2196	0	1	0
16605	8	1	1	0	28	2196	0	1	0
16607	8	1	1	0	28	2196	0	1	0
16608	8	1	1	0	28	2196	0	1	0
16609	8	1	1	0	28	2196	0	1	0
16611	8	1	1	0	28	2196	0	1	0
16612	8	1	1	0	28	2196	0	1	0
16613	8	1	1	0	28	2196	0	1	0
16614	8	1	1	0	28	2196	0	1	0
16615	8	1	1	0	28	2196	0	1	0
16616	8	1	1	0	28	2196	0	1	0
16620	8	1	1	0	28	2196	0	1	0
16621	8	1	1	0	28	2196	0	1	0
16623	8	1	1	0	28	2196	0	1	0
16624	8	1	1	0	28	2196	0	1	0
16625	8	1	1	0	28	2196	0	1	0
16626	8	1	1	0	28	2196	0	1	0
16627	8	1	1	0	28	2196	0	1	0
16628	8	1	1	0	28	2196	0	1	0
16630	8	1	1	0	28	2196	0	1	0
16631	8	1	1	0	28	2196	0	1	0
16632	8	1	1	0	28	2196	0	1	0
16633	8	1	1	0	28	2196	0	1	0
16634	8	1	1	0	28	2196	0	1	0
16635	8	1	1	0	28	2196	0	1	0
16636	8	1	1	0	28	2196	0	1	0
16640	8	1	1	0	28	2196	0	1	0
16658	8	1	1	0	28	2196	0	1	0
16659	8	1	1	0	28	2196	0	1	0
16660	8	1	1	0	28	2196	0	1	0
16661	8	1	1	0	28	2196	0	1	0
16662	8	1	1	0	28	2196	0	1	0
16663	8	1	1	0	28	2196	0	1	0
16664	8	1	1	0	28	2196	0	1	0
16665	8	1	1	0	28	2196	0	1	0
16678	8	1	1	0	28	2196	0	1	0
16679	8	1	1	0	28	2196	0	1	0
16680	8	1	1	0	28	2196	0	1	0
16681	8	1	1	0	28	2196	0	1	0
16682	8	1	1	0	28	2196	0	1	0
16683	8	1	1	0	28	2196	0	1	0
16684	8	1	1	0	28	2196	0	1	0
16685	8	1	1	0	28	2196	0	1	0
16690	8	1	1	0	28	2196	0	1	0
16691	8	1	1	0	28	2196	0	1	0
16692	8	1	1	0	28	2196	0	1	0
16693	8	1	1	0	28	2196	0	1	0
16694	8	1	1	0	28	2196	0	1	0
16695	8	1	1	0	28	2196	0	1	0
16696	8	1	1	0	28	2196	0	1	0
16697	8	1	1	0	28	2196	0	1	0
16702	8	1	1	0	28	2196	0	1	0
16703	8	1	1	0	28	2196	0	1	0
16704	8	1	1	0	28	2196	0	1	0
16705	8	1	1	0	28	2196	0	1	0
16706	8	1	1	0	28	2196	0	1	0
16707	8	1	1	0	28	2196	0	1	0
16708	8	1	1	0	28	2196	0	1	0
16709	8	1	1	0	28	2196	0	1	0
16714	8	1	1	0	28	2196	0	1	0
16715	8	1	1	0	28	2196	0	1	0
16716	8	1	1	0	28	2196	0	1	0
16717	8	1	1	0	28	2196	0	1	0
16718	8	1	1	0	28	2196	0	1	0
16719	8	1	1	0	28	2196	0	1	0
16720	8	1	1	0	28	2196	0	1	0
16721	8	1	1	0	28	2196	0	1	0
16726	8	1	1	0	28	2196	0	1	0
16727	8	1	1	0	28	2196	0	1	0
16728	8	1	1	0	28	2196	0	1	0
16729	8	1	1	0	28	2196	0	1	0
16730	8	1	1	0	28	2196	0	1	0
16731	8	1	1	0	28	2196	0	1	0
16732	8	1	1	0	28	2196	0	1	0
16733	8	1	1	0	28	2196	0	1	0
16734	8	1	1	0	28	2196	0	1	0
16739	8	1	1	0	28	2196	0	1	0
16740	8	1	1	0	28	2196	0	1	0
16741	8	1	1	0	28	2196	0	1	0
16742	8	1	1	0	28	2196	0	1	0
16743	8	1	1	0	28	2196	0	1	0
16744	8	1	1	0	28	2196	0	1	0
16745	8	1	1	0	28	2196	0	1	0
16746	8	1	1	0	28	2196	0	1	0
16751	8	1	1	0	28	2196	0	1	0
16752	8	1	1	0	28	2196	0	1	0
16753	8	1	1	0	28	2196	0	1	0
16754	8	1	1	0	28	2196	0	1	0
16755	8	1	1	0	28	2196	0	1	0
16756	8	1	1	0	28	2196	0	1	0
16757	8	1	1	0	28	2196	0	1	0
16758	8	1	1	0	28	2196	0	1	0
16759	8	1	1	0	28	2196	0	1	0
16760	8	1	1	0	28	2196	0	1	0
16761	8	1	1	0	28	2196	0	1	0
16763	8	1	1	0	28	2196	0	1	0
16764	8	1	1	0	28	2196	0	1	0
16765	8	1	1	0	28	2196	0	1	0
16767	8	1	1	0	28	2196	0	1	0
16770	8	1	1	0	28	2196	0	1	0
16771	8	1	1	0	28	2196	0	1	0
16772	8	1	1	0	28	2196	0	1	0
16773	8	1	1	0	28	2196	0	1	0
16775	8	1	1	0	28	2196	0	1	0
16776	8	1	1	0	28	2196	0	1	0
16777	8	1	1	0	28	2196	0	1	0
16779	8	1	1	0	28	2196	0	1	0
16782	8	1	1	0	28	2196	0	1	0
16783	8	1	1	0	28	2196	0	1	0
16784	8	1	1	0	28	2196	0	1	0
16785	8	1	1	0	28	2196	0	1	0
16786	8	1	1	0	28	2196	0	1	0
16787	8	1	1	0	28	2196	0	1	0
16788	8	1	1	0	28	2196	0	1	0
16789	8	1	1	0	28	2196	0	1	0
16792	8	1	1	0	28	2196	0	1	0
16794	8	1	1	0	28	2196	0	1	0
16795	8	1	1	0	28	2196	0	1	0
16796	8	1	1	0	28	2196	0	1	0
16798	8	1	1	0	28	2196	0	1	0
16799	8	1	1	0	28	2196	0	1	0
16800	8	1	1	0	28	2196	0	1	0
16801	8	1	1	0	28	2196	0	1	0
16804	8	1	1	0	28	2196	0	1	0
16806	8	1	1	0	28	2196	0	1	0
16807	8	1	1	0	28	2196	0	1	0
16808	8	1	1	0	28	2196	0	1	0
16810	8	1	1	0	28	2196	0	1	0
16811	8	1	1	0	28	2196	0	1	0
16812	8	1	1	0	28	2196	0	1	0
16813	8	1	1	0	28	2196	0	1	0
16815	8	1	1	0	28	2196	0	1	0
16816	8	1	1	0	28	2196	0	1	0
16818	8	1	1	0	28	2196	0	1	0
16819	8	1	1	0	28	2196	0	1	0
16822	8	1	1	0	28	2196	0	1	0
16823	8	1	1	0	28	2196	0	1	0
