% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
1.679	1	1	168	10	1	28	2292	0
1.688	1	1	169	9	1	28	2292	0
1.691	1	1	170	2	1	28	2292	0
1.694	1	1	170	5	1	28	2292	0
1.695	1	1	170	6	1	28	2292	0
1.704	1	1	171	5	1	28	2292	0
1.707	1	1	171	8	1	28	2292	0
1.708	1	1	171	9	1	28	2292	0
1.722	1	1	173	3	1	26	1908	0
1.723	1	1	173	4	1	26	1908	0
1.726	1	1	173	7	1	26	1908	0
1.727	1	1	173	8	1	26	1908	0
1.728	1	1	173	9	1	26	1908	0
1.729	1	1	173	10	1	26	1908	0
1.742	1	1	175	3	1	26	1908	0
1.743	1	1	175	4	1	26	1908	0
1.744	1	1	175	5	1	26	1908	0
1.745	1	1	175	6	1	26	1908	0
1.746	1	1	175	7	1	26	1908	0
1.747	1	1	175	8	1	26	1908	0
1.748	1	1	175	9	1	26	1908	0
1.749	1	1	175	10	1	28	2292	0
1.762	1	1	177	3	1	28	2292	0
1.763	1	1	177	4	1	28	2292	0
1.764	1	1	177	5	1	28	2292	0
1.765	1	1	177	6	1	28	2292	0
1.766	1	1	177	7	1	28	2292	0
1.778	1	1	178	9	1	28	2292	0
1.779	1	1	178	10	1	28	2292	0
1.78	1	1	179	1	1	28	2292	0
1.781	1	1	179	2	1	28	2292	0
1.782	1	1	179	3	1	28	2292	0
1.783	1	1	179	4	1	28	2292	0
1.784	1	1	179	5	1	28	2292	0
1.797	1	1	180	8	1	28	2292	0
1.798	1	1	180	9	1	28	2292	0
1.799	1	1	180	10	1	28	2292	0
1.8	1	1	181	1	1	28	2292	0
1.801	1	1	181	2	1	28	2292	0
1.802	1	1	181	3	1	28	2292	0
1.803	1	1	181	4	1	28	2292	0
1.804	1	1	181	5	1	28	2292	0
1.805	1	1	181	6	1	28	2292	0
1.806	1	1	181	7	1	28	2292	0
1.807	1	1	181	8	1	28	2292	0
1.808	1	1	181	9	1	28	2292	0
1.809	1	1	181	10	1	28	2292	0
1.81	1	1	182	1	1	28	2292	0
1.811	1	1	182	2	1	28	2292	0
1.813	1	1	182	4	1	28	2292	0
1.814	1	1	182	5	1	28	2292	0
1.815	1	1	182	6	1	28	2292	0
1.816	1	1	182	7	1	28	2292	0
1.817	1	1	182	8	1	28	2292	0
1.818	1	1	182	9	1	28	2292	0
1.819	1	1	182	10	1	28	2292	0
1.82	1	1	183	1	1	28	2292	0
1.821	1	1	183	2	1	28	2292	0
1.823	1	1	183	4	1	28	2292	0
1.824	1	1	183	5	1	28	2292	0
1.825	1	1	183	6	1	28	2292	0
1.826	1	1	183	7	1	28	2292	0
1.827	1	1	183	8	1	26	1908	0
1.828	1	1	183	9	1	24	1692	0
1.829	1	1	183	10	1	24	1692	0
1.83	1	1	184	1	1	22	1431	0
1.831	1	1	184	2	1	20	1335	0
1.832	1	1	184	3	1	20	1335	0
1.833	1	1	184	4	1	16	967	0
1.834	1	1	184	5	1	12	621	0
1.835	1	1	184	6	1	4	225	0
1.837	1	1	184	8	1	6	325	0
1.838	1	1	184	9	1	12	621	0
1.839	1	1	184	10	1	16	967	0
1.84	1	1	185	1	1	18	1143	0
1.841	1	1	185	2	1	20	1335	0
1.842	1	1	185	3	1	20	1335	0
1.843	1	1	185	4	1	20	1335	0
1.844	1	1	185	5	1	24	1692	0
1.845	1	1	185	6	1	24	1692	0
1.846	1	1	185	7	1	26	1908	0
1.847	1	1	185	8	1	28	2292	0
1.848	1	1	185	9	1	28	2292	0
1.849	1	1	185	10	1	28	2292	0
1.85	1	1	186	1	1	28	2292	0
1.851	1	1	186	2	1	28	2292	0
1.853	1	1	186	4	1	28	2292	0
1.854	1	1	186	5	1	28	2292	0
1.855	1	1	186	6	1	28	2292	0
1.856	1	1	186	7	1	28	2292	0
1.857	1	1	186	8	1	28	2292	0
1.858	1	1	186	9	1	28	2292	0
1.859	1	1	186	10	1	28	2292	0
1.86	1	1	187	1	1	28	2292	0
1.861	1	1	187	2	1	28	2292	0
1.863	1	1	187	4	1	28	2292	0
1.864	1	1	187	5	1	28	2292	0
1.865	1	1	187	6	1	28	2292	0
1.866	1	1	187	7	1	28	2292	0
1.867	1	1	187	8	1	28	2292	0
1.868	1	1	187	9	1	28	2292	0
1.869	1	1	187	10	1	28	2292	0
1.87	1	1	188	1	1	28	2292	0
1.871	1	1	188	2	1	28	2292	0
1.873	1	1	188	4	1	28	2292	0
1.874	1	1	188	5	1	28	2292	0
1.875	1	1	188	6	1	28	2292	0
1.876	1	1	188	7	1	28	2292	0
1.877	1	1	188	8	1	28	2292	0
1.878	1	1	188	9	1	28	2292	0
1.879	1	1	188	10	1	28	2292	0
1.88	1	1	189	1	1	28	2292	0
1.881	1	1	189	2	1	28	2292	0
1.883	1	1	189	4	1	28	2292	0
1.884	1	1	189	5	1	28	2292	0
1.885	1	1	189	6	1	28	2292	0
1.886	1	1	189	7	1	28	2292	0
1.887	1	1	189	8	1	28	2292	0
1.888	1	1	189	9	1	28	2292	0
1.889	1	1	189	10	1	28	2292	0
1.89	1	1	190	1	1	28	2292	0
1.891	1	1	190	2	1	28	2292	0
1.893	1	1	190	4	1	28	2292	0
1.894	1	1	190	5	1	28	2292	0
1.895	1	1	190	6	1	28	2292	0
1.896	1	1	190	7	1	28	2292	0
1.897	1	1	190	8	1	28	2292	0
1.898	1	1	190	9	1	28	2292	0
1.899	1	1	190	10	1	28	2292	0
1.9	1	1	191	1	1	28	2292	0
1.901	1	1	191	2	1	28	2292	0
1.903	1	1	191	4	1	28	2292	0
1.904	1	1	191	5	1	28	2292	0
1.905	1	1	191	6	1	28	2292	0
1.906	1	1	191	7	1	28	2292	0
1.907	1	1	191	8	1	28	2292	0
1.908	1	1	191	9	1	28	2292	0
1.909	1	1	191	10	1	28	2292	0
1.91	1	1	192	1	1	28	2292	0
1.911	1	1	192	2	1	28	2292	0
1.913	1	1	192	4	1	28	2292	0
1.914	1	1	192	5	1	28	2292	0
1.915	1	1	192	6	1	28	2292	0
1.916	1	1	192	7	1	28	2292	0
1.917	1	1	192	8	1	28	2292	0
1.918	1	1	192	9	1	28	2292	0
1.919	1	1	192	10	1	28	2292	0
1.92	1	1	193	1	1	28	2292	0
1.921	1	1	193	2	1	28	2292	0
1.923	1	1	193	4	1	28	2292	0
1.924	1	1	193	5	1	26	1908	0
1.925	1	1	193	6	1	26	1908	0
1.926	1	1	193	7	1	24	1692	0
1.927	1	1	193	8	1	22	1431	0
1.928	1	1	193	9	1	20	1335	0
1.929	1	1	193	10	1	20	1335	0
1.93	1	1	194	1	1	16	967	0
1.931	1	1	194	2	1	14	807	0
1.932	1	1	194	3	1	14	807	0
1.933	1	1	194	4	1	12	621	0
1.934	1	1	194	5	1	14	807	0
1.935	1	1	194	6	1	18	1143	0
1.936	1	1	194	7	1	18	1143	0
1.937	1	1	194	8	1	18	1143	0
1.938	1	1	194	9	1	16	967	0
1.939	1	1	194	10	1	14	807	0
1.94	1	1	195	1	1	14	807	0
1.941	1	1	195	2	1	14	807	0
1.942	1	1	195	3	1	14	807	0
1.943	1	1	195	4	1	18	1143	0
1.944	1	1	195	5	1	18	1143	0
1.945	1	1	195	6	1	18	1143	0
1.946	1	1	195	7	1	20	1335	0
1.947	1	1	195	8	1	20	1335	0
1.948	1	1	195	9	1	20	1335	0
1.949	1	1	195	10	1	20	1335	0
1.95	1	1	196	1	1	20	1335	0
1.951	1	1	196	2	1	22	1431	0
1.952	1	1	196	3	1	22	1431	0
1.953	1	1	196	4	1	22	1431	0
1.954	1	1	196	5	1	22	1431	0
1.955	1	1	196	6	1	22	1431	0
1.956	1	1	196	7	1	22	1431	0
1.957	1	1	196	8	1	22	1431	0
1.958	1	1	196	9	1	22	1431	0
1.959	1	1	196	10	1	22	1431	0
1.96	1	1	197	1	1	22	1431	0
1.961	1	1	197	2	1	22	1431	0
1.962	1	1	197	3	1	22	1431	0
1.963	1	1	197	4	1	22	1431	0
1.964	1	1	197	5	1	22	1431	0
1.965	1	1	197	6	1	22	1431	0
1.966	1	1	197	7	1	22	1431	0
1.967	1	1	197	8	1	22	1431	0
1.968	1	1	197	9	1	22	1431	0
1.969	1	1	197	10	1	22	1431	0
1.97	1	1	198	1	1	22	1431	0
1.971	1	1	198	2	1	22	1431	0
1.972	1	1	198	3	1	22	1431	0
1.973	1	1	198	4	1	22	1431	0
1.974	1	1	198	5	1	22	1431	0
1.975	1	1	198	6	1	22	1431	0
1.976	1	1	198	7	1	22	1431	0
1.977	1	1	198	8	1	22	1431	0
1.978	1	1	198	9	1	22	1431	0
1.979	1	1	198	10	1	22	1431	0
1.98	1	1	199	1	1	22	1431	0
1.981	1	1	199	2	1	22	1431	0
1.982	1	1	199	3	1	22	1431	0
1.983	1	1	199	4	1	22	1431	0
1.984	1	1	199	5	1	22	1431	0
1.985	1	1	199	6	1	22	1431	0
1.986	1	1	199	7	1	22	1431	0
1.987	1	1	199	8	1	22	1431	0
1.988	1	1	199	9	1	24	1692	0
1.989	1	1	199	10	1	24	1692	0
1.99	1	1	200	1	1	24	1692	0
1.991	1	1	200	2	1	24	1692	0
1.992	1	1	200	3	1	24	1692	0
1.993	1	1	200	4	1	24	1692	0
1.994	1	1	200	5	1	24	1692	0
1.995	1	1	200	6	1	24	1692	0
1.996	1	1	200	7	1	24	1692	0
1.997	1	1	200	8	1	24	1692	0
1.998	1	1	200	9	1	24	1692	0
1.999	1	1	200	10	1	24	1692	0
2	1	1	201	1	1	24	1692	0
2.001	1	1	201	2	1	28	2292	0
2.003	1	1	201	4	1	28	2292	0
2.015	1	1	202	6	1	28	2292	0
2.016	1	1	202	7	1	28	2292	0
2.017	1	1	202	8	1	28	2292	0
2.018	1	1	202	9	1	28	2292	0
2.019	1	1	202	10	1	28	2292	0
2.02	1	1	203	1	1	28	2292	0
2.021	1	1	203	2	1	28	2292	0
2.022	1	1	203	3	1	28	2292	0
2.033	1	1	204	4	1	2	137	0
2.034	1	1	204	5	1	2	137	0
