% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.107214	1	1	1	4.45426e-11	90412.7	0
0.108214	1	1	1	4.34169e-11	88057	0
0.109214	1	1	1	4.22818e-11	85685.4	0
0.110214	1	1	1	4.11556e-11	83335.1	0
0.111214	1	1	1	4.00183e-11	80966.1	0
0.112214	1	1	1	3.88993e-11	78636.9	0
0.113214	1	1	1	3.77684e-11	76287.9	0
0.114214	1	1	1	3.66608e-11	73988.7	0
0.115214	1	1	1	3.55472e-11	71681.4	0
0.116214	1	1	1	3.44563e-11	69422.8	0
0.117214	1	1	1	3.3369e-11	67175.4	0
0.118214	1	1	1	3.23021e-11	64972.4	0
0.119214	1	1	1	3.1247e-11	62796.7	0
0.120214	1	1	1	3.02109e-11	60662.8	0
0.121214	1	1	1	2.91932e-11	58569.4	0
0.122214	1	1	1	2.81939e-11	56516.3	0
0.123214	1	1	1	2.72185e-11	54514.5	0
0.124214	1	1	1	2.62612e-11	52552.7	0
0.125214	1	1	1	2.53322e-11	50650.5	0
0.126214	1	1	1	2.44213e-11	48788.6	0
0.127214	1	1	1	2.35419e-11	46992.1	0
0.128214	1	1	1	2.26815e-11	45237.7	0
0.129214	1	1	1	2.18529e-11	43549.6	0
0.130214	1	1	1	2.10472e-11	41910.7	0
0.131214	1	1	1	2.02721e-11	40335.7	0
0.132214	1	1	1	1.95228e-11	38815.3	0
0.133214	1	1	1	1.88021e-11	37354.6	0
0.134214	1	1	1	1.8108e-11	35949.8	0
0.135214	1	1	1	1.74426e-11	34605	0
0.136214	1	1	1	1.68065e-11	33321.1	0
0.137214	1	1	1	1.61982e-11	32095.1	0
0.138214	1	1	1	1.56198e-11	30931.2	0
0.139214	1	1	1	1.50683e-11	29823	0
0.140214	1	1	1	1.45471e-11	28777.1	0
0.141214	1	1	1	1.40513e-11	27784.1	0
0.142214	1	1	1	1.35853e-11	26851.9	0
0.143214	1	1	1	1.31442e-11	25971.3	0
0.144214	1	1	1	1.27312e-11	25148.2	0
0.145214	1	1	1	1.23427e-11	24375.3	0
0.146214	1	1	1	1.19804e-11	23655.9	0
0.147214	1	1	1	1.16418e-11	22984.9	0
0.148214	1	1	1	1.13272e-11	22362.6	0
0.149214	1	1	1	1.10356e-11	21787	0
0.150214	1	1	1	1.07653e-11	21254.8	0
0.151214	1	1	1	1.05173e-11	20767.5	0
0.152214	1	1	1	1.02866e-11	20315.4	0
0.153214	1	1	1	1.00772e-11	19906.1	0
0.154214	1	1	1	9.88335e-12	19527.9	0
0.155214	1	1	1	9.71019e-12	19191.4	0
0.156214	1	1	1	9.54985e-12	18880.3	0
0.157214	1	1	1	9.40823e-12	18606.8	0
0.158214	1	1	1	9.27835e-12	18356.3	0
0.159214	1	1	1	9.16423e-12	18137.2	0
0.160214	1	1	1	9.06098e-12	17939.4	0
0.161214	1	1	1	8.9703e-12	17766.4	0
0.162214	1	1	1	8.88991e-12	17613.5	0
0.163214	1	1	1	8.8187e-12	17478.3	0
0.164214	1	1	1	8.75746e-12	17362.6	0
0.165214	1	1	1	8.70186e-12	17257.4	0
0.166214	1	1	1	8.65625e-12	17171.7	0
0.167214	1	1	1	8.61262e-12	17089	0
0.168214	1	1	1	8.57927e-12	17026.5	0
0.169214	1	1	1	8.5442e-12	16959.3	0
0.170214	1	1	1	8.51826e-12	16910.2	0
0.171214	1	1	1	8.4897e-12	16854.8	0
0.172214	1	1	1	8.4676e-12	16811.9	0
0.173214	1	1	1	8.44397e-12	16764.9	0
0.174214	1	1	1	8.42368e-12	16724	0
0.175214	1	1	1	8.4026e-12	16680.8	0
0.176214	1	1	1	8.38177e-12	16637.3	0
0.177214	1	1	1	8.36114e-12	16593.6	0
0.178214	1	1	1	8.33779e-12	16543.7	0
0.179214	1	1	1	8.31584e-12	16496.2	0
0.180214	1	1	1	8.28838e-12	16436.8	0
0.181214	1	1	1	8.26368e-12	16382.7	0
0.182214	1	1	1	8.23092e-12	16311.6	0
0.183214	1	1	1	8.20154e-12	16247.3	0
0.184214	1	1	1	8.16358e-12	16165.1	0
0.185214	1	1	1	8.12781e-12	16087.3	0
0.186214	1	1	1	8.08535e-12	15995.7	0
0.187214	1	1	1	8.04303e-12	15904.4	0
0.188214	1	1	1	7.99604e-12	15803.6	0
0.189214	1	1	1	7.94721e-12	15699.2	0
0.190214	1	1	1	7.89546e-12	15589.2	0
0.191214	1	1	1	7.84081e-12	15473.5	0
0.192214	1	1	1	7.78555e-12	15357	0
0.193214	1	1	1	7.72652e-12	15233.2	0
0.194214	1	1	1	7.66883e-12	15112.7	0
0.195214	1	1	1	7.607e-12	14984.4	0
0.196214	1	1	1	7.54828e-12	14862.9	0
0.197214	1	1	1	7.48566e-12	14734.6	0
0.198214	1	1	1	7.42672e-12	14614.3	0
0.199214	1	1	1	7.36654e-12	14492.7	0
0.200214	1	1	1	7.30983e-12	14379	0
0.201214	1	1	1	7.25433e-12	14269	0
0.202214	1	1	1	7.2026e-12	14167.8	0
0.203214	1	1	1	7.15425e-12	14074.7	0
0.204214	1	1	1	7.11048e-12	13992.4	0
0.205214	1	1	1	7.07193e-12	13922	0
0.206214	1	1	1	7.03932e-12	13865.4	0
0.207214	1	1	1	7.0134e-12	13823.7	0
0.208214	1	1	1	6.99394e-12	13797.2	0
0.209214	1	1	1	6.98191e-12	13787	0
0.210214	1	1	1	6.97995e-12	13799.7	0
0.211214	1	1	1	6.98672e-12	13831.4	0
0.212214	1	1	1	7.00585e-12	13890.7	0
0.213214	1	1	1	7.03519e-12	13972.3	0
0.214214	1	1	1	7.07842e-12	14084.5	0
0.215214	1	1	1	7.13391e-12	14223.6	0
0.216214	1	1	1	7.20438e-12	14395.4	0
0.217214	1	1	1	7.28956e-12	14599.2	0
0.218214	1	1	1	7.39028e-12	14836.9	0
0.219214	1	1	1	7.50852e-12	15112.6	0
0.220214	1	1	1	7.64243e-12	15422.4	0
0.221214	1	1	1	7.79689e-12	15776.6	0
0.222214	1	1	1	7.96673e-12	16164.2	0
0.223214	1	1	1	8.16035e-12	16602.9	0
0.224214	1	1	1	8.36895e-12	17074.2	0
0.225214	1	1	1	8.60404e-12	17602.3	0
0.226214	1	1	1	8.85497e-12	18164.8	0
0.227214	1	1	1	9.13019e-12	18779.4	0
0.228214	1	1	1	9.42413e-12	19434.4	0
0.229214	1	1	1	9.7432e-12	20143.2	0
0.230214	1	1	1	1.00838e-11	20898.2	0
0.231214	1	1	1	1.04484e-11	21704.7	0
0.232214	1	1	1	1.08372e-11	22562.9	0
0.233214	1	1	1	1.12487e-11	23469.8	0
0.234214	1	1	1	1.16869e-11	24433.7	0
0.235214	1	1	1	1.21464e-11	25443.1	0
0.236214	1	1	1	1.26349e-11	26514.3	0
0.237214	1	1	1	1.3143e-11	27627.6	0
0.238214	1	1	1	1.36822e-11	28806.6	0
0.239214	1	1	1	1.42406e-11	30027.2	0
0.240214	1	1	1	1.48289e-11	31310.8	0
0.241214	1	1	1	1.54379e-11	32638.8	0
0.242214	1	1	1	1.60745e-11	34025.1	0
0.243214	1	1	1	1.67333e-11	35458.8	0
0.244214	1	1	1	1.74174e-11	36946.1	0
0.245214	1	1	1	1.8123e-11	38479.1	0
0.246214	1	1	1	1.885e-11	40057.7	0
0.247214	1	1	1	1.96007e-11	41686.1	0
0.248214	1	1	1	2.03727e-11	43359.9	0
0.249214	1	1	1	2.11684e-11	45083.1	0
0.250214	1	1	1	2.19839e-11	46848.7	0
0.251214	1	1	1	2.28222e-11	48661.7	0
0.252214	1	1	1	2.36794e-11	50515.2	0
0.253214	1	1	1	2.45577e-11	52412.1	0
0.254214	1	1	1	2.54543e-11	54348.1	0
0.255214	1	1	1	2.63696e-11	56322.6	0
0.256214	1	1	1	2.73025e-11	58334.2	0
0.257214	1	1	1	2.82522e-11	60380.4	0
0.258214	1	1	1	2.92177e-11	62459.9	0
0.259214	1	1	1	3.01986e-11	64571	0
0.260214	1	1	1	3.1193e-11	66709.8	0
0.261214	1	1	1	3.22019e-11	68878.7	0
0.262214	1	1	1	3.32208e-11	71067.5	0
0.263214	1	1	1	3.4254e-11	73286.5	0
0.264214	1	1	1	3.52912e-11	75511.9	0
0.265214	1	1	1	3.63429e-11	77768.3	0
0.266214	1	1	1	3.73949e-11	80022.7	0
0.267214	1	1	1	3.84608e-11	82306.9	0
0.268214	1	1	1	3.95257e-11	84586.1	0
0.269214	1	1	1	4.06008e-11	86886.9	0
0.270214	1	1	1	4.16747e-11	89182.8	0
0.271214	1	1	1	4.27541e-11	91489.4	0
0.272214	1	1	1	4.3833e-11	93793	0
0.273214	1	1	1	4.49116e-11	96094.5	0
0.274214	1	1	1	4.59913e-11	98396.7	0
0.275214	1	1	1	4.7064e-11	100682	0
0.276214	1	1	1	4.81403e-11	102974	0
0.277214	1	1	1	4.9202e-11	105232	0
0.278214	1	1	1	5.02708e-11	107505	0
0.279214	1	1	1	5.13163e-11	109724	0
0.280214	1	1	1	5.23708e-11	111962	0
0.281214	1	1	1	5.3398e-11	114139	0
0.282214	1	1	1	5.44295e-11	116324	0
0.283214	1	1	1	5.54338e-11	118449	0
0.284214	1	1	1	5.64353e-11	120566	0
0.285214	1	1	1	5.74165e-11	122637	0
0.286214	1	1	1	5.83864e-11	124683	0
0.287214	1	1	1	5.93411e-11	126694	0
0.288214	1	1	1	6.02752e-11	128658	0
0.289214	1	1	1	6.12004e-11	130602	0
0.290214	1	1	1	6.2095e-11	132478	0
0.291214	1	1	1	6.29878e-11	134348	0
0.292214	1	1	1	6.38393e-11	136128	0
0.293214	1	1	1	6.46965e-11	137918	0
0.294214	1	1	1	6.55021e-11	139595	0
0.295214	1	1	1	6.63124e-11	141281	0
0.296214	1	1	1	6.7078e-11	142868	0
0.297214	1	1	1	6.78385e-11	144443	0
0.298214	1	1	1	6.85621e-11	145936	0
