% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
2588	1	1	1	0	0	28	2196	0	1	1	0
2589	1	1	1	0	0	28	2196	0	1	1	0
2590	1	1	1	0	0	28	2196	0	1	1	0
2591	1	1	1	0	0	28	2196	0	1	1	0
2592	1	1	1	0	0	28	2196	0	1	1	0
2593	1	1	1	0	0	28	2196	0	1	1	0
2594	1	1	1	0	0	28	2196	0	1	1	0
2595	1	1	1	0	0	28	2196	0	1	1	0
2596	1	1	1	0	0	28	2196	0	1	1	0
2597	1	1	1	0	0	28	2196	0	1	1	0
2598	1	1	1	0	0	28	2196	0	1	1	0
2599	1	1	1	0	0	28	2196	0	1	1	0
2600	1	1	1	0	0	28	2196	0	1	1	0
2601	1	1	1	0	0	28	2196	0	1	1	0
2602	1	1	1	0	0	28	2196	0	1	1	0
2603	1	1	1	0	0	28	2196	0	1	1	0
2604	1	1	1	0	0	28	2196	0	1	1	0
2605	1	1	1	0	0	28	2196	0	1	1	0
2606	1	1	1	0	0	28	2196	0	1	1	0
2607	1	1	1	0	0	28	2196	0	1	1	0
2608	1	1	1	0	0	28	2196	0	1	1	0
2609	1	1	1	0	0	28	2196	0	1	1	0
2610	1	1	1	0	0	28	2196	0	1	1	0
2611	1	1	1	0	0	28	2196	0	1	1	0
2612	1	1	1	0	0	28	2196	0	1	1	0
2613	1	1	1	0	0	28	2196	0	1	1	0
2614	1	1	1	0	0	28	2196	0	1	1	0
2615	1	1	1	0	0	28	2196	0	1	1	0
2616	1	1	1	0	0	28	2196	0	1	1	0
2617	1	1	1	0	0	28	2196	0	1	1	0
2618	1	1	1	0	0	28	2196	0	1	1	0
2619	1	1	1	0	0	28	2196	0	1	1	0
2620	1	1	1	0	0	28	2196	0	1	1	0
2621	1	1	1	0	0	28	2196	0	1	1	0
2622	1	1	1	0	0	28	2196	0	1	1	0
2623	1	1	1	0	0	28	2196	0	1	1	0
2624	1	1	1	0	0	28	2196	0	1	1	0
2625	1	1	1	0	0	28	2196	0	1	1	0
2626	1	1	1	0	0	28	2196	0	1	1	0
2627	1	1	1	0	0	28	2196	0	1	1	0
2628	1	1	1	0	0	28	2196	0	1	1	0
2629	1	1	1	0	0	28	2196	0	1	1	0
2630	1	1	1	0	0	28	2196	0	1	1	0
2631	1	1	1	0	0	28	2196	0	1	1	0
2632	1	1	1	0	0	28	2196	0	1	1	0
2633	1	1	1	0	0	28	2196	0	1	1	0
2634	1	1	1	0	0	28	2196	0	1	1	0
2635	1	1	1	0	0	28	2196	0	1	1	0
2636	1	1	1	0	0	28	2196	0	1	1	0
2637	1	1	1	0	0	28	2196	0	1	1	0
2638	1	1	1	0	0	28	2196	0	1	1	0
2639	1	1	1	0	0	28	2196	0	1	1	0
2640	1	1	1	0	0	28	2196	0	1	1	0
